Station,Heure_requete,Jour,Date,Tmin,Tmax
Paris,2026-08-08 21:42:14,J+1,2026-08-09,18,33
Paris,2026-08-08 21:42:14,J+2,2026-08-10,19,32
Londres,2026-08-08 21:42:14,J+0,2026-08-08,21,21
Londres,2026-08-08 21:42:14,J+1,2026-08-09,17,31
Londres,2026-08-08 21:42:14,J+2,2026-08-10,19,27
Tokyo,2026-08-08 21:42:14,J+1,2026-08-09,26,32
Tokyo,2026-08-08 21:42:14,J+2,2026-08-10,25,31
Seoul,2026-08-08 21:42:14,J+1,2026-08-09,25,32
Seoul,2026-08-08 21:42:14,J+2,2026-08-10,25,32
New York,2026-08-08 21:42:14,J+0,2026-08-08,28,30
New York,2026-08-08 21:42:14,J+1,2026-08-09,26,33
New York,2026-08-08 21:42:14,J+2,2026-08-10,25,32
Miami,2026-08-08 21:42:14,J+0,2026-08-08,29,32
Miami,2026-08-08 21:42:14,J+1,2026-08-09,29,32
Miami,2026-08-08 21:42:14,J+2,2026-08-10,29,33
Paris,2026-08-08 22:01:13,J+1,2026-08-09,18,33
Paris,2026-08-08 22:01:13,J+2,2026-08-10,19,32
Londres,2026-08-08 22:01:13,J+1,2026-08-09,17,31
Londres,2026-08-08 22:01:13,J+2,2026-08-10,19,27
Tokyo,2026-08-08 22:01:13,J+1,2026-08-09,26,32
Tokyo,2026-08-08 22:01:13,J+2,2026-08-10,25,31
Seoul,2026-08-08 22:01:13,J+1,2026-08-09,25,32
Seoul,2026-08-08 22:01:13,J+2,2026-08-10,25,32
New York,2026-08-08 22:01:13,J+0,2026-08-08,28,30
New York,2026-08-08 22:01:13,J+1,2026-08-09,26,33
New York,2026-08-08 22:01:13,J+2,2026-08-10,25,32
Miami,2026-08-08 22:01:13,J+0,2026-08-08,29,32
Miami,2026-08-08 22:01:13,J+1,2026-08-09,29,32
Miami,2026-08-08 22:01:13,J+2,2026-08-10,29,33
Paris,2026-08-08 22:03:11,J+1,2026-08-09,18,33
Paris,2026-08-08 22:03:11,J+2,2026-08-10,19,32
Londres,2026-08-08 22:03:11,J+1,2026-08-09,17,31
Londres,2026-08-08 22:03:11,J+2,2026-08-10,19,27
Tokyo,2026-08-08 22:03:11,J+1,2026-08-09,26,32
Tokyo,2026-08-08 22:03:11,J+2,2026-08-10,25,31
Seoul,2026-08-08 22:03:12,J+1,2026-08-09,25,32
Seoul,2026-08-08 22:03:12,J+2,2026-08-10,25,32
New York,2026-08-08 22:03:12,J+0,2026-08-08,28,30
New York,2026-08-08 22:03:12,J+1,2026-08-09,26,33
New York,2026-08-08 22:03:12,J+2,2026-08-10,25,32
Miami,2026-08-08 22:03:12,J+0,2026-08-08,29,32
Miami,2026-08-08 22:03:12,J+1,2026-08-09,29,32
Miami,2026-08-08 22:03:12,J+2,2026-08-10,29,33
Paris,2026-08-08 22:40:31,J+1,2026-08-09,18,33
Paris,2026-08-08 22:40:31,J+2,2026-08-10,19,32
Londres,2026-08-08 22:40:31,J+1,2026-08-09,17,31
Londres,2026-08-08 22:40:31,J+2,2026-08-10,19,27
Tokyo,2026-08-08 22:40:31,J+1,2026-08-09,26,32
Tokyo,2026-08-08 22:40:31,J+2,2026-08-10,25,31
Seoul,2026-08-08 22:40:31,J+1,2026-08-09,25,32
Seoul,2026-08-08 22:40:31,J+2,2026-08-10,25,31
New York,2026-08-08 22:40:31,J+0,2026-08-08,28,29
New York,2026-08-08 22:40:31,J+1,2026-08-09,26,33
New York,2026-08-08 22:40:31,J+2,2026-08-10,25,32
Miami,2026-08-08 22:40:32,J+0,2026-08-08,29,31
Miami,2026-08-08 22:40:32,J+1,2026-08-09,29,32
Miami,2026-08-08 22:40:32,J+2,2026-08-10,29,33
Paris,2026-08-08 23:01:12,J+1,2026-08-09,18,33
Paris,2026-08-08 23:01:12,J+2,2026-08-10,19,32
Londres,2026-08-08 23:01:12,J+1,2026-08-09,17,31
Londres,2026-08-08 23:01:12,J+2,2026-08-10,19,27
Tokyo,2026-08-08 23:01:12,J+1,2026-08-09,26,32
Tokyo,2026-08-08 23:01:12,J+2,2026-08-10,25,31
Seoul,2026-08-08 23:01:12,J+1,2026-08-09,25,32
Seoul,2026-08-08 23:01:12,J+2,2026-08-10,25,32
New York,2026-08-08 23:01:13,J+0,2026-08-08,28,28
New York,2026-08-08 23:01:13,J+1,2026-08-09,26,33
New York,2026-08-08 23:01:13,J+2,2026-08-10,25,32
Miami,2026-08-08 23:01:13,J+0,2026-08-08,29,31
Miami,2026-08-08 23:01:13,J+1,2026-08-09,28,32
Miami,2026-08-08 23:01:13,J+2,2026-08-10,29,33
Paris,2026-08-08 23:04:02,J+1,2026-08-09,18,33
Paris,2026-08-08 23:04:02,J+2,2026-08-10,19,32
Londres,2026-08-08 23:04:02,J+1,2026-08-09,17,31
Londres,2026-08-08 23:04:02,J+2,2026-08-10,19,27
Tokyo,2026-08-08 23:04:02,J+1,2026-08-09,26,32
Tokyo,2026-08-08 23:04:02,J+2,2026-08-10,25,31
Seoul,2026-08-08 23:04:02,J+1,2026-08-09,27,32
Seoul,2026-08-08 23:04:02,J+2,2026-08-10,25,32
New York,2026-08-08 23:04:02,J+0,2026-08-08,28,28
New York,2026-08-08 23:04:02,J+1,2026-08-09,26,33
New York,2026-08-08 23:04:02,J+2,2026-08-10,25,32
Miami,2026-08-08 23:04:02,J+0,2026-08-08,29,31
Miami,2026-08-08 23:04:02,J+1,2026-08-09,29,32
Miami,2026-08-08 23:04:02,J+2,2026-08-10,29,33
Paris,2026-08-08 23:39:14,J+1,2026-08-09,18,33
Paris,2026-08-08 23:39:14,J+2,2026-08-10,19,32
Londres,2026-08-08 23:39:14,J+1,2026-08-09,17,31
Londres,2026-08-08 23:39:14,J+2,2026-08-10,19,27
Tokyo,2026-08-08 23:39:14,J+1,2026-08-09,26,32
Tokyo,2026-08-08 23:39:14,J+2,2026-08-10,24,31
Seoul,2026-08-08 23:39:14,J+1,2026-08-09,27,32
Seoul,2026-08-08 23:39:14,J+2,2026-08-10,25,32
New York,2026-08-08 23:39:14,J+0,2026-08-08,28,28
New York,2026-08-08 23:39:14,J+1,2026-08-09,25,33
New York,2026-08-08 23:39:14,J+2,2026-08-10,25,32
Miami,2026-08-08 23:39:14,J+0,2026-08-08,29,31
Miami,2026-08-08 23:39:14,J+1,2026-08-09,28,32
Miami,2026-08-08 23:39:14,J+2,2026-08-10,29,33
Paris,2026-08-09 00:01:22,J+0,2026-08-09,18,33
Paris,2026-08-09 00:01:22,J+1,2026-08-10,19,32
Paris,2026-08-09 00:01:22,J+2,2026-08-11,17,31
Londres,2026-08-09 00:01:22,J+0,2026-08-09,17,31
Londres,2026-08-09 00:01:22,J+1,2026-08-10,19,27
Londres,2026-08-09 00:01:22,J+2,2026-08-11,16,25
Tokyo,2026-08-09 00:01:22,J+0,2026-08-09,26,32
Tokyo,2026-08-09 00:01:22,J+1,2026-08-10,24,31
Tokyo,2026-08-09 00:01:22,J+2,2026-08-11,23,29
Seoul,2026-08-09 00:01:22,J+0,2026-08-09,27,32
Seoul,2026-08-09 00:01:22,J+1,2026-08-10,25,31
